代码	名称	涨幅%%	涨跌	最高%%	现价	开盘%%	现量	投资收益	市现率	市净率	市盈(动)	每股未分配	每股未分配	昨收	资产负债率%%	人均持股	净利润率%%	细分行业	流通股本(万)	地区	振幅%%	
000514	渝 开 发	-2.28	-0.14	3.42	6.00	-7.17	777	-106.81	-33.84	          1.84	--  	          0.65	          0.65	6.14	57.34	         15104	        -17.88	区域地产	      84377.09	重庆	12.21	
000516	国际医学	-7.44	-1.04	3.72	12.94	-7.01	5003	3799.43	170.60	          3.16	    32.44	          1.09	          1.09	13.98	35.24	          9374	          7.73	百货	      70428.36	陕西	12.73	
000517	荣安地产	-9.98	-1.30	-0.38	11.73	-9.98	1908	-161.50	1927.02	          3.47	   285.20	          2.11	          2.11	13.03	45.34	         40340	          7.67	区域地产	     101181.82	浙江	9.59	
000518	四环生物	-3.60	-0.16	3.15	4.28	-7.21	3876	248.11	-26.32	          6.43	   537.81	         -0.40	         -0.40	4.44	19.19	          5782	          3.77	生物制药	     102953.57	江苏	11.71	
000519	江南红箭	--  	--  	--  	18.57	--  	0	424.01	-188.47	          4.70	    66.67	          1.91	          1.91	18.57	17.33	         12345	         18.09	机械基件	      45795.89	湖南	0.00	
000520	长航凤凰	--  	--  	--  	2.53	--  	0	-73.12	541.39	         10.54	    11.79	         -2.94	         -2.94	2.53	59.26	         13119	         27.40	水运	     101208.34	湖北	0.00	
000521	美菱电器	-0.50	-0.03	2.68	5.95	-4.35	2237	-548.43	13.23	          1.29	    14.35	          1.24	          1.24	5.98	66.08	          9037	          2.46	家用电器	      59296.64	安徽	7.69	
000523	广州浪奇	-8.91	-1.15	5.27	11.76	-7.05	5772	-454.50	-496.50	          4.89	   193.06	          0.30	          0.30	12.91	66.76	         13500	          0.44	日用化工	      44496.21	广东	15.26	
000524	岭南控股	-4.98	-0.72	6.08	13.75	-7.53	1767	651.35	223.37	          6.03	    78.73	          0.00	          0.00	14.47	27.15	         13822	         16.13	酒店餐饮	      26967.16	广东	15.89	
000525	红 太 阳	5.06	0.67	5.06	13.91	-4.83	4277	5286.37	12.58	          1.81	    20.09	          2.46	          2.46	13.24	52.67	         32975	          5.30	农药化肥	      50698.30	江苏	11.40	
000526	银润投资	-5.26	-2.00	7.71	36.00	-5.32	3566	0.00	1174.06	         21.84	   801.77	         -0.00	         -0.00	38.00	20.39	         15389	         17.23	房产服务	       9619.50	福建	15.34	
000528	柳    工	2.43	0.19	3.59	8.00	-3.33	6292	-1687.05	-12.23	          1.00	    51.91	          3.33	          3.33	7.81	54.33	         10478	          2.35	工程机械	     112508.75	广西	9.99	
