,date,price,change,vol,amount,bid
1582,10:53:53,4.45,-0.01,902,401781,ÂôÅÌ
1583,10:53:48,4.46,0.01,1111,495523,ÂòÅÌ
1584,10:53:43,4.45,-0.01,930,413885,ÂôÅÌ
1585,10:53:38,4.46,,433,193528,ÂòÅÌ
1586,10:53:33,4.46,,199,88771,ÂôÅÌ
1587,10:53:28,4.46,,4929,2198744,ÂòÅÌ
1588,10:53:23,4.46,,3975,1772939,ÂòÅÌ
1589,10:53:13,4.46,-0.01,10236,4565470,ÂôÅÌ
1590,10:53:13,4.47,0.01,704,314688,ÂòÅÌ
1591,10:53:03,4.46,-0.01,1147,511579,ÂôÅÌ
1592,10:53:03,4.47,0.01,423,189098,ÂòÅÌ
1593,10:52:57,4.46,,768,342528,ÂôÅÌ
1594,10:52:52,4.46,,1433,639314,ÂôÅÌ
1595,10:52:47,4.46,0.01,1488,663648,ÂòÅÌ
1596,10:52:42,4.45,,5875,2614392,ÂôÅÌ
1597,10:52:37,4.45,,729,324814,ÂôÅÌ
1598,10:52:32,4.45,,527,234532,ÂôÅÌ
1599,10:52:27,4.45,,304,135707,ÂôÅÌ
1600,10:52:17,4.45,,618,275045,ÂôÅÌ
1601,10:52:17,4.45,,1265,563334,ÂôÅÌ
1602,10:52:12,4.45,,674,299965,ÂôÅÌ
1603,10:52:07,4.45,,2054,914421,ÂòÅÌ
1604,10:52:02,4.45,0.01,5164,2298407,ÂòÅÌ
1605,10:51:57,4.44,,2467,1095365,ÂôÅÌ
1606,10:51:52,4.44,-0.01,4030,1789710,ÂôÅÌ
1607,10:51:47,4.45,0.01,252,112140,ÂòÅÌ
1608,10:51:42,4.44,-0.01,4490,1993595,ÂôÅÌ
1609,10:51:37,4.45,0.01,109,48914,ÂòÅÌ
1610,10:51:32,4.44,,126,55979,ÂôÅÌ
1611,10:51:27,4.44,,7410,3290217,ÂòÅÌ
1612,10:51:17,4.44,,1261,560150,ÂòÅÌ
1613,10:51:07,4.44,,208,92352,ÂòÅÌ
1614,10:51:07,4.44,0.01,720,319680,ÂòÅÌ
1615,10:50:57,4.43,,152,67761,ÂôÅÌ
1616,10:50:52,4.43,,955,423082,ÂòÅÌ
1617,10:50:42,4.43,-0.01,2036,902373,ÂôÅÌ
1618,10:50:32,4.44,0.01,372,165594,ÂòÅÌ
1619,10:50:27,4.43,,150,66485,ÂôÅÌ
1620,10:50:22,4.43,,271,120070,ÂôÅÌ
1621,10:50:17,4.43,,336,149273,ÂôÅÌ
1622,10:50:12,4.43,0.01,4216,1867687,ÂòÅÌ
1623,10:50:07,4.42,-0.01,195,86207,ÂôÅÌ
1624,10:50:02,4.43,,320,142185,ÂòÅÌ
1625,10:49:57,4.43,0.01,313,139066,ÂòÅÌ
1626,10:49:52,4.42,,743,328423,ÂôÅÌ
1627,10:49:47,4.42,,324,143632,ÂôÅÌ
1628,10:49:42,4.42,-0.01,547,241791,ÂôÅÌ
1629,10:49:37,4.43,0.01,192,85481,ÂòÅÌ
1630,10:49:32,4.42,-0.01,163,72417,ÂôÅÌ
1631,10:49:27,4.43,0.01,9416,4171713,ÂòÅÌ
1632,10:49:22,4.42,,184,81328,ÂôÅÌ
1633,10:49:17,4.42,,1507,666111,ÂôÅÌ
1634,10:49:12,4.42,-0.01,396,175456,ÂôÅÌ
1635,10:49:07,4.43,0.01,172,76196,ÂòÅÌ
1636,10:49:02,4.42,,600,265624,ÂôÅÌ
1637,10:48:57,4.42,,197,87127,ÂôÅÌ
1638,10:48:52,4.42,,748,330616,ÂôÅÌ
1639,10:48:47,4.42,,928,410176,ÂôÅÌ
1640,10:48:37,4.42,,2471,1092553,ÂòÅÌ
1641,10:48:37,4.42,,503,222343,ÂòÅÌ
1642,10:48:32,4.42,,714,315976,ÂòÅÌ
1643,10:48:27,4.42,,371,163999,ÂòÅÌ
1644,10:48:22,4.42,0.01,2014,890223,ÂòÅÌ
1645,10:48:17,4.41,-0.01,872,384975,ÂôÅÌ
1646,10:48:12,4.42,,1587,701471,ÂòÅÌ
