代码,名称,营业利润,投资收益,利润总额,税后利润,净利润,未分利润,经营现金流,总现金流,股东人数,人均持股,人均市值,换手%%,涨速%%,最低,昨收
000611,*ST蒙发,-2163.12,-690.87,-2172.92,-2172.92,-2172.92,6126.72,2096.56,2427.56,33184,9615,7.89万,0.09,0,8.21,8.64
000612,焦作万方,2897.4,3729.48,5117.33,4826.93,4826.93,165064.52,-4114.85,15259.7,94260,10161,6.08万,2.91,-0.49,5.39,5.7
000613,大东海A,-463.08,0,-339.18,-339.18,-339.18,-33721.95,83.08,80.45,28181,9263,10.08万,10.85,-0.09,9.8,10.89
000615,湖北金环,14002.97,13507.63,14101.99,10524.65,10524.65,24877.1,-6507.47,-2330.7,22632,9353,8.43万,4.99,0.11,8.66,9.36
000616,海航投资,16195.95,2459.42,15056.5,8609.21,8606.99,245029.63,3387,-28977.55,123822,11550,7.17万,3.92,-0.32,6.12,6.8
000617,石油济柴,-159.33,0,574.06,603.37,603.37,19213.78,-8648.53,-10931.66,20887,13766,13.09万,5.14,0,9.51,10.57
000619,海螺型材,5777.73,423.57,7151.2,4964.41,4399.56,132912.92,23580.52,18886.67,31711,11353,9.74万,3.03,0.23,8.35,9.16
000620,新华联,5990.75,8551.7,10726.91,7140.43,7363.02,278484.09,-118977.26,-22457.85,53780,29713,28.23万,1.8,1.49,8.2,9.11
000622,恒立实业,-1766.9,0,-1679.64,-1679.64,-1526.2,-42428.82,-1219.06,-7869.37,18408,15372,17.40万,0,--  ,--  ,11.32
000623,吉林敖东,166561.52,147622.38,169328.56,166333.47,165994.56,993022.63,9807.66,-29894,79371,9941,24.21万,3.93,-0.04,23.11,24.55
000625,长安汽车,499289.66,496294.94,522920.09,505773.59,508526.66,1903177.63,643614.88,397846.91,193149,17538,25.76万,3.04,0.34,13.56,14.35
000626,如意集团,61710.28,86324.35,65693.15,48590.76,20499.13,61615.94,-75894.78,103694.45,17722,11415,49.35万,0,--  ,--  ,43.23
000627,天茂集团,-3649.34,1082.42,-3510.26,-3686.95,-3797.38,-7496.83,-896.8,5527.43,106061,12762,7.71万,2.89,-0.65,6,6.49
000628,高新发展,-1051.04,83.17,-938.71,-1219.65,-1432.06,-41048.62,17886.9,24898.74,23118,8121,8.20万,15.79,0,10.1,11.22
000629,攀钢钒钛,-56631.57,-710.55,-54044.51,-58893.31,-53035.67,-446819.81,-27890.85,141177.06,427358,11155,3.51万,2.64,-0.31,3.03,3.35
000630,铜陵有色,36437.89,-5479.95,39891.57,31087.36,26388.78,560206.25,412618.78,240127.59,136449,20837,17.59万,0,--  ,--  ,8.44
000631,顺发恒业,29126.25,-16.02,29261.06,21507.1,21507.1,169675.86,73719.3,-475.1,40398,36232,25.58万,2.22,-0.14,6.15,6.81
000632,三木集团,3809.58,-372.9,3465.81,493.96,279.48,14082.42,-3082.37,-636.65,40930,11373,7.57万,2.24,0.15,6.49,7.1
000633,合金投资,-1415.03,-24.16,-1379.77,-1379.77,-1379.77,-31392.4,4032.63,1508.5,25520,15090,19.42万,0,--  ,--  ,12.87
000635,英 力 特,2951.33,0,3774.41,2789.41,2789.41,52237.68,-4321.23,-5065.83,22005,13774,12.93万,2.37,0.1,9.02,9.61
000636,风华高科,4237.03,3577.21,5214.16,4201.1,4193.85,49572.1,-10093.63,-11910.65,67893,9882,7.29万,3.67,-0.8,6.85,7.33
000637,茂化实华,9862.71,698.01,9885.49,7448.88,4852.56,10902.96,12710.44,2423.96,43256,8472,4.99万,2.83,-0.67,5.7,6.16
000638,万方发展,-739.6,0,-654.8,-827.05,-712.78,-16934.43,-56020.46,-44768.1,22436,13790,12.44万,6.55,-0.22,9.01,10.01
000639,西王食品,8310.57,0,8376.51,7229.18,7229.18,59536.53,-6197.25,-13239.87,22408,16809,18.99万,3.89,2.16,11.06,12.29
