代码,名称,AB股总市值,B股(或A),H股,上市日期,买量,人均市值,人均持股,今开,公积金,内外比,内盘,净利润,净利润率%%,净益率%%,净资产,利润同比%%,利润总额,卖量,固定资产,地区,均价,外盘,存货,少数股权,市净率,市现率,市盈(动),市销率,应收帐款,强弱度%%,总现金流,总股本(万),总资产(万),总金额,投资收益,振幅%%,换手%%,收入同比%%,无形资产,昨收,最低,最高,未分利润,未匹配量,权益比,每笔均量,每笔换手,每股公积,每股净资,每股收益,每股未分配,活跃度,流动负债,流动资产,流通市值,流通股本(万),涨速%%,税后利润,细分行业,经营现金流,股东人数,营业利润,营业利润率%%,营业成本,营业收入,调整后净资,财务更新,资产负债率%%,量比,销售毛利率%%
002717,岭南园林,         42.09亿,0.0,0.0,20140219.0,51.0,8.42万,6514.0,12.88,1623.95,1.36,21143.0,7009.02,10.91,          8.60㈡,81508.38,21.55,8406.25,140.0,3624.93,广东,13.01,15549.0,91108.6,97.77,5.16,-41.19,30.02,6.55,41146.4,-3.09,15111.12,32573.59,305710.91,47733820.0,0.0,11.94,2.39,19.55,1871.57,13.48,12.36,13.97,43199.71,--  ,26.66,23.0,0.0015,0.05,2.5,0.215㈡,1.33,1580.0,176157.11,199660.81,         19.79亿,15320.4,0.0,7009.02,建筑施工,-10217.62,23520.0,8302.21,12.93,45243.28,64233.51,0.0,20150821.0,73.31,0.72,29.56
002718,友邦吊顶,         26.60亿,0.0,0.0,20140128.0,57.0,9.84万,3055.0,32.99,12803.58,1.05,6351.0,4902.22,28.69,          8.91㈡,55000.01,11.69,5709.01,23.0,9377.42,浙江,33.0,6043.0,2965.95,0.0,4.84,61.0,27.13,15.57,623.87,-2.62,8694.73,8256.0,61598.98,40908332.0,240.33,7.47,5.91,4.89,6506.4,33.45,32.0,34.5,30214.6,--  ,89.29,15.0,0.0069,1.55,6.66,0.594㈡,3.66,851.0,6447.55,45477.73,          6.75亿,2096.0,0.15,4902.22,家居用品,4360.71,6862.0,5173.24,30.28,8763.94,17086.43,0.0,20150826.0,10.71,0.96,48.71
002719,麦趣尔,         57.16亿,0.0,0.0,20140128.0,0.0,23.97万,4560.0,--  ,73392.21,--  ,0.0,2338.25,13.19,          2.14㈡,109500.06,69.24,2649.57,0.0,23685.09,新疆,52.57,0.0,5429.41,0.0,5.22,-2565.89,122.22,32.25,8573.46,1.06,7737.27,10872.21,131978.38,0.0,485.85,0.0,0.0,17.73,3987.4,52.57,--  ,--  ,23510.6,--  ,82.97,--  ,--  ,6.75,10.07,0.215㈡,2.16,0.0,22277.07,82735.31,         17.77亿,3380.14,--  ,2338.25,乳制品,-222.75,7412.0,2508.62,14.16,10149.65,17721.17,0.0,20150825.0,17.03,0.0,42.73
002721,金一文化,        129.67亿,0.0,0.0,20140127.0,0.0,51.72万,8616.0,--  ,134153.66,--  ,0.0,8264.83,3.0,          4.16㈡,198810.48,1036.09,11569.85,0.0,35443.73,北京,60.03,0.0,134875.7,10559.82,6.52,-56.81,78.45,4.71,147805.77,1.06,15656.6,21601.19,518090.06,0.0,698.35,0.0,0.0,33.76,6659.99,60.03,--  ,--  ,41809.1,--  ,38.37,--  ,--  ,6.21,9.2,0.420㈡,1.94,0.0,276541.91,437269.84,         43.80亿,7296.18,--  ,8556.75,服饰,-22825.28,8468.0,9940.65,3.61,237512.09,275313.88,0.0,20150827.0,59.59,0.0,13.73
002722,金轮股份,         24.14亿,0.0,0.0,20140128.0,1.0,6.11万,3397.0,17.45,20573.25,0.98,10456.0,2868.24,13.52,          4.98㈡,57647.96,73.42,3658.48,8.0,21467.46,江苏,18.12,10624.0,10341.62,37.35,4.19,58.21,42.08,11.38,17901.65,-0.04,7654.0,13410.0,77164.1,38198516.0,0.0,9.95,4.61,7.08,3016.26,18.2,17.18,18.99,21084.26,--  ,74.71,18.0,0.004,1.53,4.3,0.214㈡,1.57,1148.0,19256.77,50965.48,          8.23亿,4574.16,0.55,2871.11,纺织机械,4146.6,13467.0,3688.0,17.38,11551.75,21218.27,0.0,20150728.0,25.24,0.65,45.56
002723,金莱特,         28.23亿,0.0,0.0,20140129.0,0.0,7.87万,5207.0,16.0,22370.9,1.17,13162.0,2665.07,6.8,          4.24㈡,62819.71,12.62,3437.9,371.0,32987.28,广东,16.01,11208.0,13650.35,132.52,4.49,448.27,52.96,7.2,15575.75,-8.94,-2514.62,18670.0,94858.21,39021808.0,167.78,11.9,3.98,29.93,5808.75,16.8,15.12,17.12,18839.75,--  ,66.22,17.0,0.0027,1.2,3.36,0.290㈡,1.01,1460.0,30996.91,41449.28,          9.27亿,6130.0,-0.85,2650.59,家用电器,629.73,11772.0,3375.12,8.61,32833.26,39189.55,0.0,20150817.0,33.64,0.49,16.22
002724,海洋王,         57.84亿,0.0,0.0,20141104.0,36.0,3.71万,2562.0,15.08,36891.46,1.05,9094.0,-1556.12,-4.53,         -1.07㈡,145104.84,-143.49,-544.78,155.0,5397.87,深圳,15.02,8651.0,8664.42,0.0,3.99,-115.51,--  ,16.84,29006.65,-5.29,-40373.25,40000.0,158732.27,26652620.0,18.26,11.66,3.55,-18.14,8355.08,15.44,14.18,15.98,59876.07,--  ,91.41,14.0,0.0028,0.92,3.63,-0.039㈡,1.5,1274.0,13627.44,111132.17,          7.23亿,5000.0,-0.2,-1556.12,半导体,-5007.43,19514.0,-1829.43,-5.33,10090.23,34342.76,0.0,20150829.0,8.59,0.67,70.62
002725,跃岭股份,         22.00亿,0.0,0.0,20140129.0,40.0,5.62万,4090.0,14.38,39317.05,1.13,6924.0,3296.13,9.84,          3.81㈡,86571.81,-39.55,3882.96,25.0,34960.75,浙江,14.12,6116.0,12869.75,0.0,2.54,39.17,33.37,6.57,11619.12,-4.96,-2908.83,16000.0,98744.25,18406364.0,0.39,12.51,2.46,-17.51,10618.46,14.63,13.3,15.13,27171.39,--  ,87.67,15.0,0.0029,2.46,5.41,0.206㈡,1.7,842.0,11890.65,48707.05,          7.28亿,5296.0,-1.0,3296.13,汽车配件,5616.78,12948.0,3843.87,11.47,26524.16,33510.78,0.0,20150827.0,12.33,0.66,20.85
002726,龙大肉食,         39.98亿,0.0,0.0,20140626.0,1.0,3.86万,4210.0,9.4,58338.98,0.98,17788.0,4945.93,2.68,          3.34㈡,148023.47,-4.1,5660.47,89.0,44418.28,山东,9.46,18086.0,58349.38,5773.14,2.7,601.61,40.42,2.17,16214.0,-4.8,4346.78,43648.0,181667.5,33939544.0,297.57,11.92,3.29,8.94,3329.88,9.73,8.99,10.15,38540.15,--  ,81.48,23.0,0.0021,1.34,3.39,0.113㈡,0.88,1561.0,26173.81,119946.15,         10.00亿,10918.0,-0.43,5002.76,食品,664.58,25934.0,5030.55,2.72,170986.23,184654.88,0.0,20150818.0,15.34,0.71,7.4
002727,一心堂,        110.55亿,0.0,0.0,20140702.0,10.0,30.61万,7208.0,38.88,83776.8,1.4,41459.0,17398.2,6.96,          8.28㈡,210052.42,10.43,19390.01,251.0,37498.03,云南,41.13,29577.0,84869.36,0.0,5.26,-409.18,31.77,4.42,40213.03,4.19,-19166.23,26030.0,373413.53,292189024.0,-21.86,15.71,6.69,20.5,3310.16,41.18,37.37,43.84,91262.27,--  ,56.25,23.0,0.0022,3.22,8.07,0.668㈡,3.51,3055.0,162720.8,280691.09,         45.11亿,10622.53,0.37,17398.18,医药商业,-2701.73,14738.0,19290.49,7.72,145923.88,249906.92,0.0,20150901.0,43.75,1.38,41.61
002728,台城制药,         44.18亿,0.0,0.0,20140731.0,0.0,10.25万,4639.0,22.1,33792.64,1.04,30401.0,4074.18,22.01,          5.25㈡,77638.22,-13.87,4798.75,1643.0,11847.17,广东,22.71,29124.0,14058.09,0.0,5.69,102.1,54.22,23.87,7245.47,-8.92,-30826.63,20000.0,117967.85,135164752.0,0.0,11.65,10.15,6.71,4627.99,24.54,22.09,24.95,30104.95,--  ,65.81,21.0,0.0035,1.69,3.88,0.204㈡,1.51,2901.0,38663.96,51471.96,         12.96亿,5867.0,0.0,4074.18,中成药,4327.0,12646.0,4779.21,25.82,9993.74,18508.0,0.0,20150828.0,34.19,0.6,46.0
002729,好利来,         40.67亿,0.0,0.0,20140912.0,41.0,15.98万,2619.0,58.51,17792.05,3.96,5413.0,1258.93,16.09,          3.41㈡,36959.37,-27.8,1486.07,60.0,3630.35,福建,60.44,1368.0,3554.71,0.0,11.01,733.79,161.55,51.99,3552.84,0.95,7839.95,6668.0,48442.43,40991004.0,208.3,12.74,4.07,-9.27,1496.0,61.07,56.0,63.78,10996.57,--  ,76.3,13.0,0.0078,2.67,5.54,0.189㈡,1.65,520.0,4155.56,27831.77,         10.17亿,1668.0,-0.03,1258.93,元器件,554.31,6369.0,1622.57,20.74,4619.12,7823.05,0.0,20150826.0,23.7,1.28,40.95
002730,电光科技,         47.68亿,0.0,0.0,20141009.0,0.0,9.31万,2865.0,--  ,35454.98,--  ,0.0,3778.93,17.8,          4.68㈡,80780.56,45.12,4412.27,0.0,24503.9,浙江,32.51,0.0,13934.65,1024.96,5.9,107.31,63.09,22.47,39296.62,1.06,-6944.67,14667.0,118901.4,0.0,0.54,0.0,0.0,-23.82,6365.64,32.51,--  ,--  ,28044.8,--  ,67.94,--  ,--  ,2.42,5.51,0.258㈡,1.91,0.0,36396.55,83910.25,         11.92亿,3667.0,--  ,3775.36,电气设备,4443.35,12801.0,1663.68,7.84,14102.37,21225.1,0.0,20150829.0,31.2,0.0,33.56
002731,萃华珠宝,         34.99亿,0.0,0.0,20141104.0,66.0,6.12万,2637.0,22.61,40195.59,1.21,11737.0,3741.68,2.25,          3.54㈡,105845.97,-14.37,4998.76,1.0,9774.21,辽宁,23.87,9694.0,112053.7,61.37,3.31,160.83,46.75,2.1,13520.25,-5.8,-29630.02,15068.0,198252.41,51153256.0,1032.45,13.68,5.69,-7.41,570.21,24.93,22.56,25.97,47793.31,--  ,53.39,12.0,0.0033,2.67,7.02,0.248㈡,3.17,1748.0,91651.77,178743.7,          8.75亿,3768.0,-0.34,3597.55,服饰,2175.49,14287.0,4896.75,2.94,155150.97,166539.56,0.0,20150828.0,46.58,0.48,6.84
002732,燕塘乳业,         32.26亿,0.0,0.0,20141205.0,126.0,4.52万,2203.0,20.18,31940.59,1.07,6069.0,4584.6,9.86,          6.24㈡,73524.85,11.26,5827.41,86.0,25701.21,广东,20.99,5687.0,7000.75,1815.6,4.39,86.92,35.18,6.94,2156.54,-1.74,-14360.63,15735.0,98364.28,24681164.0,117.3,9.39,2.99,7.33,3191.9,21.09,20.0,21.98,23116.97,--  ,74.75,10.0,0.0026,2.03,4.67,0.291㈡,1.47,1130.0,22186.11,58787.16,          8.07亿,3935.0,-0.24,4609.05,乳制品,3711.15,17864.0,5919.26,12.73,30247.15,46508.69,0.0,20150730.0,23.41,0.58,34.96
002733,雄韬股份,         35.29亿,0.0,0.0,20141203.0,57.0,4.69万,2713.0,17.0,46361.81,1.07,10303.0,4805.81,4.68,          4.30㈡,111772.36,6.65,5605.53,62.0,21829.07,深圳,17.79,9602.0,41086.3,1370.64,3.16,65.91,36.72,3.43,51228.85,-3.04,-28952.6,20400.0,195935.02,35402688.0,581.56,13.14,3.9,10.21,3959.68,18.04,16.51,18.88,43177.18,--  ,57.05,14.0,0.0028,2.27,5.48,0.236㈡,2.12,1397.0,78193.11,164338.41,          8.82亿,5100.0,-0.46,4760.4,电气设备,5354.97,18795.0,5439.15,5.29,87368.72,102749.93,0.0,20150818.0,42.25,0.66,14.97
002734,利民股份,         39.66亿,0.0,0.0,20150127.0,19.0,11.53万,3780.0,30.02,33346.55,1.36,41125.0,3018.96,6.92,          4.12㈡,73341.86,2.65,3463.26,2.0,53559.45,江苏,31.89,30326.0,10102.01,201.27,5.41,-327.2,65.69,9.09,16346.3,-2.3,-2001.36,13000.0,110619.57,227856592.0,409.41,10.77,21.99,5.56,4612.25,31.57,30.0,33.4,23427.5,--  ,66.3,30.0,0.0094,2.57,5.64,0.290㈡,1.8,2351.0,36700.01,37209.71,          9.92亿,3250.0,-0.48,3021.96,农药化肥,-1212.21,8599.0,3194.08,7.32,32918.26,43617.01,0.0,20150810.0,33.52,1.08,24.53
002735,王子新材,         22.29亿,0.0,0.0,20141203.0,28.0,6.16万,2212.0,27.26,16263.69,1.31,2886.0,1123.91,5.39,          2.54㈡,44311.12,-5.1,1572.37,22.0,6362.14,深圳,28.19,2206.0,5354.68,247.88,5.03,81.98,99.15,10.69,12408.62,-1.22,-570.52,8000.0,51468.44,14356653.0,0.0,8.77,2.55,-1.61,1756.35,28.51,27.0,29.5,19040.35,--  ,86.09,9.0,0.0044,2.03,5.54,0.140㈡,2.38,581.0,6909.41,41197.1,          5.57亿,2000.0,-0.49,1151.1,塑料,2718.87,9042.0,1533.62,7.36,17094.88,20850.67,0.0,20150818.0,13.42,0.39,18.01
002736,国信证券,       1388.26亿,0.0,0.0,20141229.0,260232.0,11.25万,6647.0,15.5,668272.5,1.51,712352.0,902179.63,51.64,         19.84㈡,4547061.5,492.0,1198737.75,3500.0,98078.24,深圳,16.43,473082.0,0.0,527.06,3.05,3.3,7.69,7.95,0.0,5.57,9626962.0,820000.0,34804712.0,1947553280.0,333033.09,10.68,9.88,306.9,59129.48,16.2,15.3,17.03,1662530.25,--  ,13.06,285.0,0.0024,0.81,5.55,1.100㈡,2.03,4166.0,0.0,0.0,        203.16亿,120000.0,0.29,902182.19,证券,4200843.0,180527.0,1196895.5,68.5,0.0,1747201.75,0.0,20150825.0,86.93,1.85,--  
002737,葵花药业,        108.80亿,0.0,0.0,20141230.0,42.0,8.80万,2362.0,36.7,122167.77,0.95,16917.0,18200.89,12.03,          7.75㈡,234749.91,10.69,23645.28,229.0,71124.55,黑龙江,38.06,17775.0,33516.96,8727.21,4.63,41.98,29.89,7.19,19662.47,-0.81,-98543.45,29200.0,312474.94,132021616.0,49.29,10.53,4.75,20.9,18349.49,37.97,36.0,40.0,73843.0,--  ,75.13,14.0,0.0019,4.18,8.04,1.250㈡,2.53,2511.0,44325.73,192986.19,         27.20亿,7299.95,-0.5,19569.25,中成药,25916.85,30905.0,22099.47,14.61,64865.69,151292.63,0.0,20150825.0,22.08,0.73,57.13
002738,中矿资源,         25.53亿,0.0,0.0,20141230.0,83.0,4.81万,2348.0,21.3,23128.24,1.23,9550.0,1785.88,14.92,          3.10㈡,57553.3,-16.98,2011.39,258.0,17154.07,北京,21.45,7775.0,8172.72,1030.16,4.27,-83.61,71.48,21.33,20507.99,-8.91,-11517.87,12461.0,71118.8,37155748.0,-2.46,11.99,5.78,-11.22,7196.75,22.76,20.48,23.21,29758.56,--  ,80.93,13.0,0.0042,1.86,4.8,0.143㈡,2.39,1384.0,10250.94,41919.56,          6.15亿,3000.0,-0.82,1563.15,建筑施工,-3053.95,12777.0,2058.75,17.2,7695.3,11970.08,4.8,20150902.0,17.63,0.57,35.71
002739,万达院线,        796.71亿,0.0,0.0,20150122.0,131.0,25.78万,1812.0,147.7,119279.9,0.93,22962.0,62844.69,18.03,         14.22㈡,441889.69,50.49,82725.06,123.0,122574.7,北京,150.19,24623.0,4262.83,470.2,18.03,89.14,63.39,22.85,5896.18,-7.74,120896.02,56000.0,589639.13,714673536.0,0.0,13.54,7.93,40.82,3529.85,156.0,141.08,162.2,241027.8,--  ,74.94,14.0,0.0024,2.13,7.89,1.140㈡,4.3,3321.0,146109.2,316222.47,         85.36亿,6000.0,-0.42,62949.55,影视音像,89376.21,33106.0,78228.55,22.44,228817.22,348645.66,0.0,20150831.0,24.98,1.01,34.37
002740,爱迪尔,         35.77亿,0.0,0.0,20150122.0,11833.0,15.76万,4406.0,32.5,42223.57,2.6,18872.0,3514.78,8.02,          3.77㈡,93197.86,-12.32,4896.62,0.0,2979.62,深圳,35.3,7268.0,39438.1,0.0,3.84,-20.15,50.89,8.16,35744.32,11.05,21016.99,10000.0,128421.65,92274384.0,0.0,13.13,10.46,2.43,296.2,32.52,31.5,35.77,37129.0,--  ,72.57,32.0,0.0129,4.22,9.32,0.370㈡,3.71,813.0,35113.37,124585.27,          8.94亿,2500.0,0.0,3514.78,服饰,-17755.2,5674.0,4806.87,10.96,34029.0,43846.7,0.0,20150824.0,27.43,1.27,22.39
002741,光华科技,         41.76亿,0.0,0.0,20150216.0,12.0,10.48万,3011.0,35.0,32469.84,1.04,16197.0,3121.34,7.91,          4.30㈡,72593.75,0.0,3652.31,37.0,17185.21,广东,36.92,15544.0,13284.85,0.0,5.75,-68.49,66.89,10.59,22705.1,-4.89,9532.91,12000.0,92161.43,117190544.0,0.0,11.89,10.58,0.0,2260.79,37.0,34.6,39.0,25807.86,--  ,78.77,13.0,0.0042,2.71,6.05,0.260㈡,2.15,2509.0,15813.75,64741.82,         10.44亿,3000.0,-1.16,3121.34,化工原料,-6097.1,9965.0,3462.73,8.78,29341.77,39437.65,0.0,20150826.0,21.23,0.54,25.6
002742,三圣特材,         32.70亿,0.0,0.0,20150217.0,12.0,5.76万,2535.0,22.42,54020.17,0.82,7463.0,5433.9,8.11,          4.69㈡,115819.72,0.0,6268.02,60.0,44262.73,重庆,23.11,9121.0,6138.31,618.42,2.82,-137.07,30.09,4.88,84563.25,-0.16,32195.63,14400.0,207309.38,38327580.0,0.0,8.18,4.61,0.0,7711.55,22.99,21.9,23.78,41654.45,--  ,55.87,14.0,0.0039,3.75,8.04,0.400㈡,2.89,1174.0,86816.21,151735.56,          8.18亿,3600.0,0.48,5467.55,其他建材,-2385.86,14199.0,6172.97,9.21,52468.11,67031.71,0.0,20150817.0,43.83,0.73,21.73
002743,富煌钢构,         26.69亿,0.0,0.0,20150217.0,1.0,3.63万,1651.0,20.05,24640.92,1.16,20001.0,1595.87,2.27,          2.17㈡,73685.15,0.0,1981.13,847.0,50469.15,安徽,21.57,17289.0,126820.36,1087.17,3.62,-13.9,83.64,3.8,68066.9,3.43,-5541.9,12134.0,316056.31,80443576.0,0.0,12.24,12.29,0.0,5042.68,21.49,20.02,22.65,33131.84,--  ,23.31,17.0,0.0056,2.03,6.07,0.140㈡,2.73,2209.0,235525.34,248046.59,          6.67亿,3034.0,6.28,1624.32,钢加工,-19198.38,18381.0,1934.8,2.76,58690.36,70171.47,0.0,20150826.0,76.34,0.48,16.36
002745,木林森,        115.21亿,0.0,0.0,20150217.0,201.0,6.03万,2327.0,25.64,87162.57,1.35,18067.0,23169.6,11.58,          9.31㈡,248831.16,0.0,27402.4,109.0,226924.77,广东,26.71,13412.0,62774.76,2945.9,4.63,-43.32,24.86,5.76,45096.07,-4.82,46735.28,44450.0,663987.63,84075112.0,3.72,12.6,7.07,0.0,11679.83,27.54,25.6,29.07,105114.61,--  ,37.48,15.0,0.0034,1.96,5.6,0.540㈡,2.36,2057.0,379026.31,420156.06,         11.53亿,4450.0,0.34,23222.34,半导体,-26595.84,19123.0,27213.85,13.6,146450.5,200046.81,0.0,20150826.0,62.08,1.24,26.79
002746,仙坛股份,         32.52亿,0.0,0.0,20150216.0,0.0,4.04万,1978.0,20.58,38325.51,0.89,19969.0,859.39,0.95,          0.87㈡,98358.15,0.0,859.39,2140.0,61955.63,山东,21.06,22334.0,24742.96,0.0,3.31,42.86,189.22,3.6,4625.33,-8.95,8800.35,15935.0,146091.48,89071328.0,118.2,12.3,10.62,0.0,6004.89,22.68,20.41,23.2,41059.4,--  ,67.33,16.0,0.0041,2.41,6.17,0.060㈡,2.58,2580.0,47405.73,60710.2,          8.13亿,3985.0,0.0,859.39,农业综合,7588.11,20149.0,715.37,0.79,85831.43,90410.61,0.0,20150827.0,32.67,0.93,5.06
002747,埃斯顿,         40.80亿,0.0,0.0,20150320.0,2.0,5.86万,1725.0,34.0,17004.46,1.02,10221.0,1728.0,7.32,          3.73㈡,46346.12,0.0,1675.42,512.0,13836.88,江苏,35.58,9998.0,8456.3,106.03,8.8,-181.94,118.06,17.29,15218.73,-6.8,3495.08,12000.0,57179.55,71930776.0,0.0,12.87,6.74,0.0,2115.65,36.9,33.9,38.65,15841.86,--  ,81.05,11.0,0.0035,1.42,3.86,0.160㈡,1.32,1920.0,10145.37,34210.37,         10.20亿,3000.0,-0.87,1739.49,机械基件,-2242.51,17396.0,993.46,4.21,15385.86,23595.93,0.0,20150812.0,18.76,0.83,34.79
002748,世龙实业,         30.32亿,0.0,0.0,20150319.0,130.0,5.01万,1983.0,23.0,45256.03,0.68,18662.0,2214.25,4.6,          2.38㈡,93132.9,0.0,2643.33,105.0,49486.84,江西,26.12,27297.0,3981.88,0.0,3.26,-125.91,68.47,6.31,4673.91,1.5,1279.68,12000.0,113504.85,120061160.0,0.0,19.79,15.32,0.0,6435.91,25.16,22.66,27.64,31411.51,--  ,82.05,23.0,0.0077,3.77,7.76,0.210㈡,2.62,1989.0,18052.49,52562.68,          7.58亿,3000.0,-0.31,2214.25,化工原料,-2408.48,15129.0,2446.61,5.09,41502.4,48089.05,0.0,20150827.0,17.95,1.29,13.7
002749,国光股份,         36.10亿,0.0,0.0,20150320.0,11.0,9.09万,1889.0,44.99,33063.55,0.83,7311.0,9275.32,25.24,         11.73㈡,79060.67,0.0,10902.65,91.0,1847.59,四川,48.74,8760.0,13295.44,0.0,4.57,63.07,19.46,9.82,3904.37,1.96,34247.81,7500.0,86295.31,78330856.0,78.54,18.09,10.71,0.0,3105.08,47.7,43.72,52.35,35688.9,--  ,91.62,11.0,0.0073,4.41,10.54,1.370㈡,4.76,1471.0,6839.65,79130.9,          7.22亿,1500.0,-0.68,9275.3,农药化肥,5723.43,7942.0,10801.19,29.39,18550.31,36754.37,0.0,20150827.0,8.38,0.69,49.53
002750,龙津药业,         44.42亿,0.0,0.0,20150324.0,5.0,10.36万,1557.0,65.0,28980.76,1.01,5482.0,2907.29,31.18,          5.13㈡,56671.8,0.0,3431.3,10.0,26911.7,云南,68.0,5447.0,1903.46,0.0,7.84,186.81,76.4,47.64,244.32,-5.21,24001.51,6675.0,66724.75,74323624.0,4.76,12.13,6.52,0.0,1967.46,71.0,64.89,73.5,18115.34,--  ,84.93,7.0,0.004,4.34,8.49,0.500㈡,2.71,1641.0,7714.85,37752.51,         11.15亿,1675.0,-0.29,2907.29,中成药,2377.87,10759.0,3284.2,35.22,3266.36,9324.37,0.0,20150818.0,15.07,0.88,64.97
002751,易尚展示,         44.31亿,0.0,0.0,20150424.0,1.0,9.72万,1541.0,53.01,16278.07,3.0,28549.0,2051.23,8.21,          4.91㈡,41747.62,0.0,2307.37,69.0,3843.84,深圳,62.38,9503.0,3488.41,0.0,10.61,658.31,108.02,17.74,21478.96,8.76,18978.35,7024.0,82466.61,237372816.0,0.0,19.51,21.67,0.0,5831.41,58.58,53.01,64.44,16138.12,--  ,50.62,19.0,0.0106,2.32,5.94,0.350㈡,2.3,2047.0,36609.25,69506.8,         11.08亿,1756.0,0.46,2051.23,家居用品,673.15,11398.0,2128.41,8.52,17045.8,24984.48,0.0,20150824.0,49.38,1.48,31.77
002752,昇兴股份,        134.53亿,0.0,0.0,20150422.0,0.0,4.89万,1525.0,32.03,28313.24,0.51,37387.0,4275.91,4.41,          3.25㈡,131589.59,0.0,5867.62,8059.0,105177.01,福建,32.88,73019.0,28007.6,1310.18,10.22,151.59,157.31,13.89,32254.23,-8.94,8850.03,42000.0,238039.8,363053728.0,0.0,10.31,18.4,0.0,14084.05,35.59,32.03,35.7,58679.06,--  ,55.28,35.0,0.0058,0.67,3.13,0.110㈡,1.4,3162.0,91646.43,112282.97,         19.22亿,6000.0,0.0,4254.95,广告包装,8874.61,39337.0,5845.75,6.03,81153.22,96878.43,0.0,20150826.0,44.17,0.59,16.23
002753,永东股份,         25.80亿,0.0,0.0,20150519.0,1.0,3.52万,1345.0,26.21,38948.06,0.92,6874.0,3020.04,7.37,          3.63㈡,83274.68,0.0,3550.78,215.0,27047.39,山西,27.01,7508.0,12704.33,0.0,3.1,113.97,42.71,6.3,16076.13,-2.55,31980.6,9870.0,110360.92,38847816.0,0.0,10.88,5.82,0.0,5217.72,27.12,25.67,28.62,30981.05,--  ,75.46,10.0,0.004,3.95,8.44,0.390㈡,3.14,1463.0,25546.06,73416.47,          6.46亿,2470.0,-0.72,3020.04,化工原料,2263.84,18361.0,3527.51,8.61,31819.74,40973.09,0.0,20150824.0,24.54,0.53,22.34
002755,东方新星,         23.02亿,0.0,0.0,20150515.0,164.0,3.01万,1325.0,23.01,14126.05,0.96,9583.0,1884.92,10.4,          3.65㈡,51691.35,0.0,2115.95,86.0,3697.71,北京,24.12,9931.0,4529.58,0.0,4.45,-87.11,61.08,12.7,38446.6,-8.46,14210.32,10134.0,75920.75,47065976.0,0.0,13.34,7.7,0.0,45.92,25.11,22.65,26.0,24422.56,--  ,68.09,11.0,0.0045,1.39,5.1,0.186㈡,2.41,1699.0,24229.39,71146.84,          5.76亿,2534.0,-0.17,1884.92,建筑施工,-2643.0,19130.0,2069.85,11.42,12976.9,18132.35,0.0,20150827.0,31.91,0.68,28.43
002756,永兴特钢,         65.04亿,0.0,0.0,20150515.0,62.0,5.01万,1541.0,31.71,98600.57,0.88,13754.0,12216.32,6.78,          4.40㈡,277594.91,0.0,14634.65,2.0,40559.2,浙江,33.14,15579.0,25053.75,0.0,2.34,-50.68,26.62,3.61,15612.87,-0.1,75047.95,20000.0,317138.5,97205232.0,294.46,11.82,5.87,0.0,7772.5,32.9,31.0,34.89,138731.84,--  ,87.53,15.0,0.0031,4.93,13.88,0.770㈡,6.94,1911.0,34756.09,246517.72,         16.26亿,5000.0,-0.3,12216.32,特钢,-12832.82,32443.0,12317.08,6.84,161335.92,180188.06,0.0,20150817.0,12.47,0.75,10.46
002757,南兴装备,         27.55亿,0.0,0.0,20150527.0,348.0,3.27万,1297.0,25.12,35031.4,1.14,12349.0,3428.37,11.6,          4.88㈡,70251.36,0.0,4033.37,5.0,20439.35,广东,26.7,10835.0,10270.36,0.0,3.92,152.36,40.18,9.32,12754.07,-7.44,26132.65,10934.0,96202.68,61902744.0,0.0,12.2,8.48,0.0,5742.25,27.54,25.03,28.39,22200.21,--  ,73.02,14.0,0.0052,3.2,6.43,0.400㈡,2.03,1617.0,15878.35,55898.21,          6.89亿,2734.0,-1.17,3428.37,家居用品,1808.43,21078.0,3944.21,13.34,20607.85,29561.38,0.0,20150819.0,26.98,0.68,30.29
002758,华通医药,         24.42亿,0.0,0.0,20150527.0,2.0,6.32万,1450.0,42.15,29310.95,0.88,6299.0,2023.48,3.5,          4.02㈡,50358.51,0.0,2635.62,102.0,9247.65,浙江,44.93,7183.0,13740.9,0.0,4.85,-65.12,60.33,4.22,28537.33,-1.99,10203.25,5600.0,91449.05,60583344.0,0.0,12.56,9.63,0.0,6192.49,44.97,41.8,47.45,14006.85,--  ,55.07,11.0,0.0078,5.23,8.99,0.460㈡,2.5,1241.0,40410.62,72205.68,          6.10亿,1400.0,-0.18,2023.48,医药商业,-3749.46,9654.0,2662.06,4.6,51255.12,57860.43,0.0,20150824.0,44.93,0.69,11.42
002759,天际股份,         38.27亿,0.0,0.0,20150528.0,1438.0,6.78万,1701.0,37.1,26197.67,0.95,9968.0,2619.87,13.9,          4.92㈡,53270.82,0.0,3015.5,21.0,5357.0,广东,38.53,10489.0,6423.74,0.0,7.18,-95.89,73.03,20.31,2971.99,0.96,9313.5,9600.0,62631.51,78834568.0,0.0,9.6,8.52,0.0,2920.18,39.9,36.03,39.86,15411.47,--  ,85.05,19.0,0.008,2.73,5.55,0.340㈡,1.61,1068.0,7660.68,35436.67,          9.57亿,2400.0,7.7,2619.87,家用电器,-3990.59,14107.0,2997.65,15.91,12817.62,18843.93,0.0,20150812.0,14.95,0.54,31.98
